worker,,score1,score2,score3,score4,score5,,size1,size2,size3,size4,size5
218,,6,2,8,6,5,,108,32,162,72,48
219,,2,3,5,3,7,,32,48,108,72,162
220,,9,2,3,2,5,,162,32,72,48,108
221,,6,2,4,3,9,,108,32,72,48,162
222,,2,10,4,6,2,,32,162,72,108,48
223,,9,6,10,10,3,,72,48,108,162,32
224,,4,10,5,1,8,,48,162,72,32,108
225,,6,4,10,2,7,,72,48,162,32,108
226,,4,6,5,7,3,,48,72,108,162,32
227,,1,2,3,4,5,,32,48,72,108,162
228,,8,4,10,6,3,,108,48,162,72,32
229,,3,9,10,5,6,,32,108,162,48,72
230,,4,7,1,3,6,,72,162,32,48,108
231,,6,1,3,9,3,,108,32,72,162,48
232,,9,2,4,7,6,,162,32,48,108,72
233,,2,3,5,2,4,,32,72,162,48,108
234,,7,4,3,9,1,,108,72,48,162,32
235,,7,4,2,6,9,,108,48,32,72,162
236,,7,2,10,4,3,,108,32,162,72,48
237,,4,9,2,7,3,,72,162,32,108,48
238,,1,3,2,7,9,,32,72,48,108,162
239,,5,5,5,4,6,,72,32,48,108,162
240,,3,10,3,6,5,,32,162,48,108,72
